capture_id,sample_index,timestamp_note,dynamic_instances,static_instances,changed_instances,tlas_memory_mb,tlas_scratch_mb,ptlas_memory_mb,ptlas_scratch_mb,animation_physics_gpu_ms,animation_update_instances_gpu_ms,tlas_update_gpu_ms,render_gpu_ms,compositing_gpu_ms,frame_gpu_ms,frame_cpu_ms,screenshot_path,notes
classic_tlas_refit,1,after initial 2s warmup,169231,1220175,5084,285.68,103.97,320.18,110.24,0.141,n/a,0.706,1.308,2.509,4.664,16.604,notes/ptlas-vk-sample-captures/screenshots/classic_tlas_refit.png,PTLAS inactive; Refit TLAS checked
classic_tlas_refit,2,after initial 2s warmup,169231,1220175,4624,285.68,103.97,320.18,110.24,0.127,n/a,0.668,1.185,2.675,4.656,16.614,notes/ptlas-vk-sample-captures/screenshots/classic_tlas_refit-sample2.png,PTLAS inactive; Refit TLAS checked
classic_tlas_refit,3,after initial 2s warmup,169231,1220175,4289,285.68,103.97,320.18,110.24,0.118,n/a,0.663,1.171,2.693,4.646,16.764,notes/ptlas-vk-sample-captures/screenshots/classic_tlas_refit-sample3.png,PTLAS inactive; Refit TLAS checked
classic_tlas_refit,4,after initial 2s warmup,169231,1220175,4148,285.68,103.97,320.18,110.24,0.116,n/a,0.664,1.159,2.638,4.577,16.788,notes/ptlas-vk-sample-captures/screenshots/classic_tlas_refit-sample4.png,PTLAS inactive; Refit TLAS checked
classic_tlas_refit,5,after initial 2s warmup,169231,1220175,4135,285.68,103.97,320.18,110.24,0.111,n/a,0.657,1.165,2.629,4.562,16.770,notes/ptlas-vk-sample-captures/screenshots/classic_tlas_refit-sample5.png,PTLAS inactive; Refit TLAS checked
classic_tlas_refit,6,after initial 2s warmup,169231,1220175,4101,285.68,103.97,320.18,110.24,0.107,n/a,0.657,1.153,2.459,4.377,16.822,notes/ptlas-vk-sample-captures/screenshots/classic_tlas_refit-sample6.png,PTLAS inactive; Refit TLAS checked
classic_tlas_refit,7,after initial 2s warmup,169231,1220175,4067,285.68,103.97,320.18,110.24,0.103,n/a,0.670,1.219,2.463,4.457,16.798,notes/ptlas-vk-sample-captures/screenshots/classic_tlas_refit-sample7.png,PTLAS inactive; Refit TLAS checked
classic_tlas_refit,8,after initial 2s warmup,169231,1220175,4026,285.68,103.97,320.18,110.24,0.103,n/a,0.681,1.259,2.512,4.556,16.816,notes/ptlas-vk-sample-captures/screenshots/classic_tlas_refit-sample8.png,PTLAS inactive; Refit TLAS checked
classic_tlas_refit,9,after initial 2s warmup,169231,1220175,4035,285.68,103.97,320.18,110.24,0.106,n/a,0.656,1.139,2.425,4.327,16.793,notes/ptlas-vk-sample-captures/screenshots/classic_tlas_refit-sample9.png,PTLAS inactive; Refit TLAS checked
classic_tlas_refit,10,after initial 2s warmup,169231,1220175,4011,285.68,103.97,320.18,110.24,0.105,n/a,0.676,1.225,2.503,4.510,16.680,notes/ptlas-vk-sample-captures/screenshots/classic_tlas_refit-sample10.png,PTLAS inactive; Refit TLAS checked
ptlas_local_partition,1,after initial 2s warmup,169231,1220175,206,285.68,103.97,320.18,110.24,0.122,0.018,0.573,1.178,2.407,4.298,16.659,notes/ptlas-vk-sample-captures/screenshots/ptlas_local_partition.png,PTLAS active; Always update partition
ptlas_local_partition,2,after initial 2s warmup,169231,1220175,118,285.68,103.97,320.18,110.24,0.121,0.018,0.556,1.182,2.481,4.358,16.786,notes/ptlas-vk-sample-captures/screenshots/ptlas_local_partition-sample2.png,PTLAS active; Always update partition
ptlas_local_partition,3,after initial 2s warmup,169231,1220175,66,285.68,103.97,320.18,110.24,0.118,0.017,0.555,1.206,2.457,4.354,16.820,notes/ptlas-vk-sample-captures/screenshots/ptlas_local_partition-sample3.png,PTLAS active; Always update partition
